grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2014/920,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/09 JO EPN Triton 2014,8480.04,2014,Triton,Sea Border Sector
2014/924,SBS,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/SBS/09 JO EPN Triton 2014,778173.37,2014,Triton,Sea Border Sector
2014/954,PRU,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/PRU/05 Rex 2014,3945.59,2014,Rex 2014,Pooled Resources Unit
2014/960,PRU,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/PRU/05 Rex 2014,12648.47,2014,Rex 2014,Pooled Resources Unit
2014/970,PRU,Spain,Guardia Civil,"C/ Guzman El Bueno, 110, 28003 Madrid, Spain",2014/PRU/05 Rex 2014,7932.98,2014,Rex 2014,Pooled Resources Unit
2014/974,ROS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ROS/37 JRO to Pakistan,433500,2014,Return Operations,Return Operations Sector
2014/980,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/09 JO EPN Triton 2014,13406.93,2014,Triton,Sea Border Sector
2014/1024,FSC,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/FSC/03 FSC Support Officer Deployment,6208.51,2014,FSC Support Officer Deployment,Frontex Situation Centre
2014/1041,ABS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/ABS/03 Focal Points,820,2014,Focal Points,Air Border Sector
2014/1067,SBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/SBS/09 JO EPN Triton 2014,6320.34,2014,Triton,Sea Border Sector
2014/1070,LBS,Spain,Cuerpo Nacional de Policia,"C/ General Pardinas 90, 28006 Madrid, Spain",2014/LBS/04 Focal Points Land,22247.1,2014,Focal Points,Land Borders Sector
