grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2013/262,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,23850.3,2013,Poseidon,Land Borders Sector
2013/285,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/04 JO Focal Points 2013 Land,13471.3,2013,Focal Points (Land),Land Borders Sector
2013/354,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/02 JO Neptune 2013,3654.05,2013,Neptune,Land Borders Sector
2013/398,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,25004.83,2013,Poseidon,Land Borders Sector
2013/435,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/05 Coordination Points,12508.3,2013,Coordination Points,Land Borders Sector
2013/447,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/SBS/03 Focal Points Sea 2013,10024.19,2013,Focal Points (Sea),Sea Border Sector
2013/481,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,15292.44,2013,Poseidon,Land Borders Sector
2013/499,PRU,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/PRU/04 Rapid intervention exercise - REX 2013,4344.2,2013,Rapid intervention exercise,Pooled Resources Unit
2013/536,SBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/SBS/P1/04 EPN-Minerva,13803,2013,Minerva,Sea Border Sector
2013/571,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/04 JO Focal Points 2013 Land,13805.14,2013,Focal Points (Land),Land Borders Sector
2013/572,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,15142.64,2013,Poseidon,Land Borders Sector
2013/573,FSC,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/FSC/04 FSC Support Officer Deployment,10076.19,2013,Frontex Situation Centre,Frontex Situation Centre
2013/669,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/04 JO Focal Points 2013 Land,2295,2013,Focal Points (Land),Land Borders Sector
2013/670,ROS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/ROS/01 Attica,6118.26,2013,Attica,Return Operations Sector
2013/672,ABS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/ABS/03 JO Focal Points 2013 Air,12957.7,2013,Focal Points (Air),Air Border Sector
2013/680,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,13387.84,2013,Poseidon,Land Borders Sector
2013/695,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/01 JO Jupiter 2013,4853.52,2013,Jupiter,Land Borders Sector
2013/722,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/04 JO Focal Points 2013 Land,5717.01,2013,Focal Points (Land),Land Borders Sector
2013/752,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,14457.84,2013,Poseidon,Land Borders Sector
2013/839,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,11954.25,2013,Poseidon,Land Borders Sector
2013/883,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,13041.16,2013,Poseidon,Land Borders Sector
2013/918,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/04 JO Focal Points 2013 Land,10336.2,2013,Focal Points (Land),Land Borders Sector
2013/956,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,12859.26,2013,Poseidon,Land Borders Sector
2013/963,LBS,Estonia,Police and Border Guard Board,"Parnu mnt 139/1, 15183 Tallinn, Estonia",2013/LBS/06 JO Poseidon Land,39444.48,2013,Poseidon,Land Borders Sector
2012/21,LBS,Estonia,Police and Border Guard Board,NA,2011/LBS/02 JO Poseidon Land 2011,18079.84,2012,Poseidon,Land Borders Sector
2012/62,LBS,Estonia,Police and Border Guard Board,NA,2011/LBS/02 JO Poseidon Land 2011,18251.04,2012,Poseidon,Land Borders Sector
2012/90,ROS,Estonia,Police and Border Guard Board,NA,2012/ROS/01 ATTICA 2012,4574.65,2012,Attica,Return Operations Sector
2012/158,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,14968.28,2012,Poseidon,Land Borders Sector
2012/178,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/04 JO Focal Points 2012,4287.77,2012,Focal Points (Land),Land Borders Sector
2012/199,ABS,Estonia,Police and Border Guard Board,NA,2012/ABS/03 JO Focal Points 2012,6110.93,2012,Focal Points (Air),Air Border Sector
2012/224,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,17181.04,2012,Poseidon,Land Borders Sector
2012/225,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,23804.3,2012,Poseidon,Land Borders Sector
2012/241,ABS,Estonia,Police and Border Guard Board,NA,2012/ABS/04 PP Flexi Force - Hubble module,7794.87,2012,Hubble,Air Border Sector
2012/278,ROS,Estonia,Police and Border Guard Board,NA,2012/ROS/01 ATTICA 2012,4752.3,2012,Attica,Return Operations Sector
2012/316,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,15820,2012,Poseidon,Land Borders Sector
2012/360,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/03 JO Eurocup 2012,27306.72,2012,Eurocup,Land Borders Sector
2012/374,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/04 JO Focal Points 2012,5541.81,2012,Focal Points (Land),Land Borders Sector
2012/474,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/04 JO Focal Points 2012,23611.13,2012,Focal Points (Land),Land Borders Sector
2012/479,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,16089.64,2012,Poseidon,Land Borders Sector
2012/570,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/01 JO Jupiter,14714.24,2012,Jupiter,Land Borders Sector
2012/597,SBS,Estonia,Police and Border Guard Board,NA,2012/SBS/01 EPN-Minerva 2012,16179.88,2012,Minerva,Sea Border Sector
2012/606,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,44282.92,2012,Poseidon,Land Borders Sector
2012/686,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,50403.4,2012,Poseidon,Land Borders Sector
2012/691,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/04 JO Focal Points 2012,12850.47,2012,Focal Points (Land),Land Borders Sector
2012/696,ROS,Estonia,Police and Border Guard Board,NA,2012/ROS/01 ATTICA 2012,5608.3,2012,Attica,Return Operations Sector
2012/730,SBS,Estonia,Police and Border Guard Board,NA,2012/SBS/03 Focal Points,35525.52,2012,Focal Points (Sea),Sea Border Sector
2012/752,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,254607.38,2012,Poseidon,Land Borders Sector
2012/765,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,46491.82,2012,Poseidon,Land Borders Sector
2012/769,FSC,Estonia,Police and Border Guard Board,NA,2012/FSC/02 - Frontex Support Officers FSC 2012,15448.88,2012,Frontex Situation Centre,Frontex Situation Centre
2012/850,LBS,Estonia,Police and Border Guard Board,NA,2012/LBS/06 JO Poseidon Land 2012,17023.04,2012,Poseidon,Land Borders Sector
