grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2016/10,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2015/SBS/08 Poseidon Rapid Intervention,45932,2016,Poseidon,Sea Border Sector
2016/55,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/SBS/05 EPN-Triton,19051,2016,Triton,Sea Border Sector
2016/299,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2015/SBS/08 Poseidon Rapid Intervention,35027,2016,Poseidon,Sea Border Sector
2016/369,RSU,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/RSU/03 Poseidon Rapid Intervention/Readmission Activities,36251,2016,Poseidon,Return Support Unit
2016/379,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/SBS/05 EPN-Triton,20699,2016,Triton,Sea Border Sector
2016/394,RSU,Luxembourg,Ministry of Foreign Affairs,"ImmigrationDirectorate, BP 752, L-2017, Luxembourg",2016/RSU/03 Poseidon Rapid Intervention/Readmission Activities,15664,2016,Poseidon,Return Support Unit
2016/668,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/SBS/07 EPN-Poseidon Sea 2016,19867,2016,Poseidon,Sea Border Sector
2016/737,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/SBS/05 EPN-Triton,19047,2016,Triton,Sea Border Sector
2016/751,RSU,Luxembourg,Ministry of Foreign Affairs,"ImmigrationDirectorate, BP 752, L-2017, Luxembourg",2016/RSU/01 JRO to Kosovo,1038,2016,Return Operations,Return Support Unit
2016/886,RSU,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/RSU/03 EPN Poseidon,27713,2016,Poseidon,Return Support Unit
2016/952,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/SBS/05 EPN-Triton,21029,2016,Triton,Sea Border Sector
2016/1107,RSU,Luxembourg,Ministry of Foreign Affairs,"ImmigrationDirectorate, BP 752, L-2017, Luxembourg",2016/RSU/01 JRO to Albania,1359,2016,Return Operations,Return Support Unit
2016/1191,RSU,Luxembourg,Ministry of Foreign Affairs,"ImmigrationDirectorate, BP 752, L-2017, Luxembourg",2016/RSU/01 NRO to Kosovo,33673,2016,Return Operations,Return Support Unit
2016/1374,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/SBS/05 EPN-Triton,42177,2016,Triton,Sea Border Sector
2016/1418,LBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/LBS/01 FOA,7248,2016,Flexible Operational Activities,Land Borders Sector
2016/1723,SBS,Luxembourg,Police Grand Ducale,"19-20, boulevard Royal,L-2012 Luxembourg",2016/SBS/05 EPN-Triton,20698,2016,Triton,Sea Border Sector
2015/95,ROS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2015/ROS/08 JRO to Bosnia- Herzegovina&Serbia,10564,2015,Return Operations,Return Operations Sector
2015/158,ABS,Luxembourg,Police Grand Ducale,"19, rue Beaumont, 1219 Luxembourg",2015/ABS/03 Focal Points,8322,2015,Focal Points (Air),Air Border Sector
2015/283,ROS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2015/ROS/17 JRO to Nigeria,8953,2015,Return Operations,Return Operations Sector
2015/648,ROS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2015/ROS/37 JRO to Nigeria,21695,2015,Return Operations,Return Operations Sector
2015/1043,ROS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2015/ROS/50 JRO to Nigeria,3487,2015,Return Operations,Return Operations Sector
2015/1102,SBS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017,Luxembourg",2015/SBS/05 EPN-Triton,10141,2015,Triton,Sea Border Sector
2015/1311,SBS,Luxembourg,Police Grand Ducale,"19, rue Beaumont, 1219 Luxembourg",2015/SBS/05 EPN-Triton,10757,2015,Triton,Sea Border Sector
2014/402,ROS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2014/ROS/17 JRO to DR Congo,1251.52,2014,Return Operations,Return Operations Sector
2014/553,ROS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2014/ROS/24 JRO to Serbia and FYR of Macedonia,827.55,2014,Return Operations,Return Operations Sector
2014/888,ROS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2014/ROS/32 JRO to Serbia&Bosnia- Herzegovina,10563.68,2014,Return Operations,Return Operations Sector
2014/1087,SBS,Luxembourg,Ministry of Foreign Affairs,"Immigration Directorate, BP 752, L-2017, Luxembourg",2014/SBS/09 JO EPN Triton 2014,7875.2,2014,Triton,Sea Border Sector
2013/248,SBS,Luxembourg,Police Grand Ducale,"19, rue Beaumont, 1219 Luxembourg",2013/SBS/P1/03 EPN-Indalo 2013,180834.87,2013,Indalo,Sea Border Sector
2013/337,SBS,Luxembourg,Police Grand Ducale,"19, rue Beaumont, 1219 Luxembourg",2013/SBS/P1/06 EPN-Aeneas 2013,242329.82,2013,Aeneas,Sea Border Sector
2013/559,SBS,Luxembourg,Police Grand Ducale,"19, rue Beaumont, 1219 Luxembourg",2013/SBS/P1/02 EPN-Hera 2013,499720.2,2013,Hera,Sea Border Sector
2013/654,SBS,Luxembourg,Police Grand Ducale,"19, rue Beaumont, 1219 Luxembourg",2013/SBS/02 JO Poseidon Sea 2013,284877.4,2013,Poseidon,Sea Border Sector
2013/846,SBS,Luxembourg,Police Grand Ducale,"19, rue Beaumont, 1219 Luxembourg",2013/SBS/P1/05 EPN-Hermes 2013,289289.49,2013,Hermes,Sea Border Sector
2012/183,SBS,Luxembourg,Police Grand Ducale,NA,2012/SBS/02 JO Poseidon Sea 2012,691694.51,2012,Poseidon,Sea Border Sector
2012/214,SBS,Luxembourg,Police Grand Ducale,NA,2011/SBS/01 EPN Aeneas 2011,173953.62,2012,Aeneas,Sea Border Sector
2012/215,ROS,Luxembourg,Ministry of Foreign Affairs,NA,2012/ROS/14 JRO to Nigeria,4655.3,2012,Return Operations,Return Operations Sector
2012/303,SBS,Luxembourg,Police Grand Ducale,NA,2012/SBS/01 EPN-Indalo 2012,261184.6,2012,Indalo,Sea Border Sector
2012/498,SBS,Luxembourg,Police Grand Ducale,NA,2012/SBS/01 EPN-Hera 2012,463677.8,2012,Hera,Sea Border Sector
2012/590,LBS,Luxembourg,Police Grand Ducale,NA,2012/LBS/01 JO Jupiter,4919.1,2012,Jupiter,Land Borders Sector
2012/714,ABS,Luxembourg,Police Grand Ducale,NA,2012/ABS/03 JO Focal Points 2012,6392.36,2012,Focal Points (Air),Air Border Sector
2012/733,ROS,Luxembourg,Ministry of Foreign Affairs,NA,2012/ROS/29 JRO to Serbia,630.41,2012,Return Operations,Return Operations Sector
2012/754,SBS,Luxembourg,Police Grand Ducale,NA,2012/SBS/01 EPN-Aeneas 2012,274738.17,2012,Aeneas,Sea Border Sector
2012/808,SBS,Luxembourg,Police Grand Ducale,NA,2012/SBS/02 JO Poseidon Sea 2012,283507.15,2012,Poseidon,Sea Border Sector
2012/964,ROS,Luxembourg,Ministry of Foreign Affairs,NA,2012/ROS/37 JRO to Serbia,976.38,2012,Return Operations,Return Operations Sector
2012/974,SBS,Luxembourg,Police Grand Ducale,NA,2012/SBS/01 EPN-Aeneas 2012,261374.34,2012,Aeneas,Sea Border Sector
2011/17/,ROS,Luxembourg,Ministry of Foreign Affairs,NA,2010/OPS/68 JRO to Nigeria,19261,2011,Return Operations,Return Operations Sector
2011/129/,PRU,Luxembourg,Police Grand Ducale,NA,2010/PRU/09 - 2011/LBS/02 Rabit-Poseidon Land 2011,614971.04,2011,Poseidon,Pooled Resources Unit
2011/280/,SBS,Luxembourg,Police Grand Ducale,NA,2010/OPS/10 EPN-Hermes Extension,440305.48,2011,Hermes,Sea Border Sector
