grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2010/583/,ABS,Italy,Guardia Costiera,NA,2010/OPS/09 Air Border Focal Points 2010,6414.72,2010,Focal Points,Air Border Sector
2010/596/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/09 Air Border Focal Points 2010,24890.09,2010,Focal Points,Air Border Sector
2010/606/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/54 JO Agelaus 2010,22313.84,2010,JO Agelaus 2010,Air Border Sector
2010/607/,ABS,Belgium,Federal Police,NA,2010/OPS/54 JO Agelaus 2010,4700,2010,JO Agelaus 2010,Air Border Sector
2010/608/,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,NA,2010/OPS/54 JO Agelaus 2010,5994,2010,JO Agelaus 2010,Air Border Sector
2010/609/,ABS,Czech Republic,"Directorate of Alien and Border Police, Police of the Czech Republic",NA,2010/OPS/54 JO Agelaus 2010,7990.5,2010,JO Agelaus 2010,Air Border Sector
2010/610/,ABS,Estonia,Police and Border Guard Board,NA,2010/OPS/54 JO Agelaus 2010,6435.2,2010,JO Agelaus 2010,Air Border Sector
2010/611/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/54 JO Agelaus 2010,6981.05,2010,JO Agelaus 2010,Air Border Sector
2010/612/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/54 JO Agelaus 2010,20080.3,2010,JO Agelaus 2010,Air Border Sector
2010/613/,ABS,Italy,Guardia Costiera,NA,2010/OPS/54 JO Agelaus 2010,37236.96,2010,JO Agelaus 2010,Air Border Sector
2010/614/,ABS,Netherlands,Royal Marechaussee,NA,2010/OPS/54 JO Agelaus 2010,18365.23,2010,JO Agelaus 2010,Air Border Sector
2010/615/,ABS,Norway,National Police Directorate,NA,2010/OPS/54 JO Agelaus 2010,7448.29,2010,JO Agelaus 2010,Air Border Sector
2010/616/,ABS,Poland,Border Guard,NA,2010/OPS/54 JO Agelaus 2010,20046.04,2010,JO Agelaus 2010,Air Border Sector
2010/617/,ABS,Romania,Romanian Border Police / Coast Guard,NA,2010/OPS/54 JO Agelaus 2010,36781.65,2010,JO Agelaus 2010,Air Border Sector
2010/618/,ABS,Slovenia,Slovenian Ministry of Interior,NA,2010/OPS/54 JO Agelaus 2010,8762.95,2010,JO Agelaus 2010,Air Border Sector
2010/619/,ABS,Spain,Comisaría General de Extranjería y Fronteras,NA,2010/OPS/54 JO Agelaus 2010,14773.3,2010,JO Agelaus 2010,Air Border Sector
2010/625/,ABS,Finland,Finnish Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,3696.64,2010,Focal Points,Air Border Sector
2010/626/,ABS,Germany,Federal Police Central Office,NA,2010/OPS/09 Air Border Focal Points 2010,3083.3,2010,Focal Points,Air Border Sector
2010/627/,ABS,Poland,Border Guard,NA,2010/OPS/09 Air Border Focal Points 2010,15809.94,2010,Focal Points,Air Border Sector
2010/628/,ABS,France,Direction Central de la Police aux Frontieres,NA,2010/OPS/09 Air Border Focal Points 2010,6806.2,2010,Focal Points,Air Border Sector
2010/635/,ABS,Austria,Federal Ministry of Interior,NA,2010/OPS/06 JO Meteor,11240.58,2010,JO Meteor,Air Border Sector
2010/636/,ABS,Bulgaria,Chief Directorate Border Police - Ministry of Interior,NA,2010/OPS/06 JO Meteor,5059.48,2010,JO Meteor,Air Border Sector
2010/637/,ABS,Estonia,Police and Border Guard Board,NA,2010/OPS/06 JO Meteor,2376.99,2010,JO Meteor,Air Border Sector
2010/638/,ABS,Finland,Finnish Border Guard,NA,2010/OPS/06 JO Meteor,2976.18,2010,JO Meteor,Air Border Sector
