grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/225,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,289439,2023,Technical Equipment,Field Operations Unit
2023/226,FOU,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,156252,2023,Technical Equipment,Field Operations Unit
2023/232,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,547117,2023,Technical Equipment,Field Operations Unit
2023/233,FOU,Spain,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,139726,2023,Technical Equipment,Field Operations Unit
2023/235,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,344637,2023,Technical Equipment,Field Operations Unit
2023/238,FOU,Italy,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,126048,2023,Technical Equipment,Field Operations Unit
2023/246,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,781600,2023,Technical Equipment,Field Operations Unit
2023/248,FOU,Denmark,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,491477,2023,Technical Equipment,Field Operations Unit
2023/250,FOU,Slovakia,Police Force,"Pribinova 2, 812 72 Bratislava, Slovak Republic",2023/FOU/01/Heavy Technical Equipment,112660,2023,Technical Equipment,Field Operations Unit
2023/255,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,2332447,2023,Technical Equipment,Field Operations Unit
2023/257,FOU,Romania,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,1248530,2023,Technical Equipment,Field Operations Unit
