grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2023/363,FOU,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,1029330,2023,Romania,Technical Equipment,Field Operations Unit
2023/364,CGS,Estonian Navy,"Juhkentali 58, Tallinn, 15007, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,690234,2023,Estonia,Technical Equipment,Coast Guard Sector
2023/365,CGS,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",MMO Baltic Sea 2023/Heavy Technical Equipment,37572,2023,Estonia,Technical Equipment,Coast Guard Sector
2023/368,CGS,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",MMO Baltic Sea 2023/Heavy Technical Equipment,288052,2023,Finland,Technical Equipment,Coast Guard Sector
2023/369,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1815909,2023,Greece,Technical Equipment,Field Operations Unit
2023/371,FOU,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2023/FOU/01/Heavy Technical Equipment,180085,2023,Netherlands,Technical Equipment,Field Operations Unit
2023/372,FOU,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania",2023/FOU/01/Heavy Technical Equipment,663091,2023,Lithuania,Technical Equipment,Field Operations Unit
2023/374,FOU,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,465312,2023,Germany,Technical Equipment,Field Operations Unit
2023/376,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,678444,2023,Spain,Technical Equipment,Field Operations Unit
2023/377,CGS,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Black Sea 2023/Heavy Technical Equipment,237361,2023,Romania,Technical Equipment,Coast Guard Sector
2023/384,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,536319,2023,Latvia,Technical Equipment,Field Operations Unit
2023/386,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,1122611,2023,Italy,Technical Equipment,Field Operations Unit
2023/387,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,324081,2023,Italy,Technical Equipment,Field Operations Unit
2023/390,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,269516,2023,Spain,Technical Equipment,Field Operations Unit
2023/391,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,544504,2023,Spain,Technical Equipment,Field Operations Unit
2023/398,FOU,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",2023/FOU/01/Heavy Technical Equipment,329357,2023,Romania,Technical Equipment,Field Operations Unit
2023/401,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,834148,2023,Italy,Technical Equipment,Field Operations Unit
2023/403,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2023/FOU/01/Heavy Technical Equipment,1033813,2023,Latvia,Technical Equipment,Field Operations Unit
2023/409,FOU,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2023/FOU/01/Heavy Technical Equipment,1488281,2023,Iceland,Technical Equipment,Field Operations Unit
2023/412,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,67749,2023,Italy,Technical Equipment,Field Operations Unit
2023/414,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,2124387,2023,Italy,Technical Equipment,Field Operations Unit
2023/420,FOU,General Department of Immigration - Ministry for Home Affairs,"26, route d'Arlon, L-1140 Luxembourg",2023/FOU/01/Heavy Technical Equipment,1021824.35,2023,Luxembourg,Technical Equipment,Field Operations Unit
2023/421,FOU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,313645,2023,France,Technical Equipment,Field Operations Unit
2023/422,FOU,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,517413,2023,Germany,Technical Equipment,Field Operations Unit
2023/423,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,913524,2023,Greece,Technical Equipment,Field Operations Unit
2023/425,FOU,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/FOU/01/Heavy Technical Equipment,301746,2023,Estonia,Technical Equipment,Field Operations Unit
2023/432,FOU,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/FOU/01/Heavy Technical Equipment,632564,2023,Bulgaria,Technical Equipment,Field Operations Unit
2023/433,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K",2023/FOU/01/Heavy Technical Equipment,574036,2023,Denmark,Technical Equipment,Field Operations Unit
2023/438,FOU,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2023/FOU/01/Heavy Technical Equipment,635996,2023,Sweden,Technical Equipment,Field Operations Unit
2023/439,FOU,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania",2023/FOU/01/Heavy Technical Equipment,97206,2023,Romania,Technical Equipment,Field Operations Unit
2023/440,FOU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,508558,2023,France,Technical Equipment,Field Operations Unit
2023/441,CGS,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/CGS/Heavy Technical Equipment,102481,2023,Italy,Technical Equipment,Coast Guard Sector
2023/442,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,516779,2023,Italy,Technical Equipment,Field Operations Unit
2023/449,FOU,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2023/FOU/01/Heavy Technical Equipment,204644,2023,Finland,Technical Equipment,Field Operations Unit
2023/450,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,94181,2023,Spain,Technical Equipment,Field Operations Unit
2023/451,FOU,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/FOU/01/Heavy Technical Equipment,303261,2023,Poland,Technical Equipment,Field Operations Unit
2023/452,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,871620,2023,Italy,Technical Equipment,Field Operations Unit
2023/453,TRU,National Maritime Authority,"Praça do Comércio, 1100-148 Lisboa, Portugal",Engagement of technical equipment in Frontex EFS Exercise,11665.5,2023,Portugal,Technical Equipment,Training Unit
2023/456,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,407282,2023,Greece,Technical Equipment,Field Operations Unit
2023/457,FOU,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2023/FOU/01/Heavy Technical Equipment,272696,2023,Estonia,Technical Equipment,Field Operations Unit
2023/458,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,464734,2023,Italy,Technical Equipment,Field Operations Unit
2023/459,CGS,Border Police,"Illica 335, 10000 Zagreb, Croatia",MMO Adria 2023/Heavy Technical Equipment,123052,2023,Croatia,Technical Equipment,Coast Guard Sector
2023/466,FOU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2023/FOU/01/Heavy Technical Equipment,426823,2023,France,Technical Equipment,Field Operations Unit
2023/467,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2023/FOU/01/Heavy Technical Equipment,269992,2023,Spain,Technical Equipment,Field Operations Unit
2023/468,FOU,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2023/FOU/01/Heavy Technical Equipment,303134,2023,Germany,Technical Equipment,Field Operations Unit
2023/469,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,190755,2023,Italy,Technical Equipment,Field Operations Unit
2023/471,CGS,Romanian Border Police / Coast Guard,"3, Zmeurei Avenue, Constanta, 900439, Romania",MMO Western Black Sea 2023/Heavy Technical Equipment,241903,2023,Romania,Technical Equipment,Coast Guard Sector
2023/472,FOU,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria",2023/FOU/01/Heavy Technical Equipment,780524,2023,Bulgaria,Technical Equipment,Field Operations Unit
2023/473,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2023/FOU/01/Heavy Technical Equipment,201403,2023,Italy,Technical Equipment,Field Operations Unit
2023/477,FOU,Border Guard,"Al. Niepodleglosci 100, 02-514 Warszawa, Poland",2023/FOU/01/Heavy Technical Equipment,279749,2023,Poland,Technical Equipment,Field Operations Unit
2023/478,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1581763,2023,Greece,Technical Equipment,Field Operations Unit
2022/10,FOU,Ministry of Internal Security,"4, Place de l'Europe
L-1499 Luxembourg
",2022/FOU/Heavy Technical Equipment,889475,2022,Luxembourg,Technical Equipment,Field Operations Unit
2022/27,FOU,Guardia Civil,"C/ Guzman el Bueno, 110, 28003 Madrid, Spain",2022/FOU/Heavy Technical Equipment,888613,2022,Spain,Technical Equipment,Field Operations Unit
2022/30,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/Heavy Technical Equipment,420391,2022,Latvia,Technical Equipment,Field Operations Unit
2022/31,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/Heavy Technical Equipment,411860,2022,Greece,Technical Equipment,Field Operations Unit
2022/34,FOU,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2022/FOU/01/Heavy Technical Equipment,510838,2022,Finland,Technical Equipment,Field Operations Unit
2022/35,FOU,Federal Border Police Headquarters,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2022/FOU/01/Heavy Technical Equipment,523260,2022,Germany,Technical Equipment,Field Operations Unit
2022/44,FOU,Police and Border Guard Board,"Pärnu mnt 139, 15060 Tallinn, Estonia",2022/FOU/01/Heavy Technical Equipment,101260,2022,Estonia,Technical Equipment,Field Operations Unit
2022/51,FOU,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2022/FOU/01/Heavy Technical Equipment,481357,2022,Portugal,Technical Equipment,Field Operations Unit
2022/52,FOU,Swedish Coast Guard,"P. O. Box 536, SE-37123 Karlskrona",2022/FOU/01/Heavy Technical Equipment,1518955,2022,Sweden,Technical Equipment,Field Operations Unit
2022/53,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,504131,2022,Denmark,Technical Equipment,Field Operations Unit
2022/54,FOU,Croatian Ministry of Interior,"Illica 335, 10000 Zagreb, Croatia",2022/FOU/01/Heavy Technical Equipment,380184,2022,Croatia,Technical Equipment,Field Operations Unit
2022/55,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,320266,2022,Italy,Technical Equipment,Field Operations Unit
2022/56,FOU,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga",2022/FOU/01/Heavy Technical Equipment,1611095,2022,Latvia,Technical Equipment,Field Operations Unit
2022/77,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,373794,2022,Italy,Technical Equipment,Field Operations Unit
2022/78,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,763330,2022,Italy,Technical Equipment,Field Operations Unit
2022/81,FOU,Defence Command,"Holmens Kanal 9             
DK-1060 Copenhagen K, Denmark",2022/FOU/01/Heavy Technical Equipment,481642,2022,Denmark,Technical Equipment,Field Operations Unit
2022/93,FOU,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,805116,2022,Greece,Technical Equipment,Field Operations Unit
2022/95,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,678752,2022,Italy,Technical Equipment,Field Operations Unit
2022/97,FOU,Direction Generale des Douanes et Droits Indirects,"11, rue des Deux communes 93558 Montreuil Cedex France",2022/FOU/01/Heavy Technical Equipment,138614,2022,France,Technical Equipment,Field Operations Unit
2022/98,FOU,Icelandic Coast Guard,"Skogarhlid 14, 105 Reykjavik, Iceland",2022/FOU/01/Heavy Technical Equipment,1432962,2022,Iceland,Technical Equipment,Field Operations Unit
2022/103,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,59506,2022,Italy,Technical Equipment,Field Operations Unit
2022/104,FOU,Guardia Costiera,"Via Tuscolana 1548, 00173 Roma, Italy",2022/FOU/01/Heavy Technical Equipment,329242,2022,Italy,Technical Equipment,Field Operations Unit
