grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/161,DMD,Poland,Border Guard,"Aleja Niepodległości 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1282453.44,2023,Human Resources,Deployment Management Division
2023/171,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1916343.7600000002,2023,Human Resources,Deployment Management Division
2023/173,DMD,Czech Republic,Police of the Czech Republic,"Police of the Czech Republic, Strojnicka 27, 170 89, Praha 7, Czech Republic","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps ",451248.46,2023,Human Resources,Deployment Management Division
2023/174,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",711111.23,2023,Human Resources,Deployment Management Division
2023/177,DMD,Slovenia,Slovenian Ministry of Interior,"Štefanova 02, 1000 Ljubljana, Slovenia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",491969.52,2023,Human Resources,Deployment Management Division
2023/184,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1360561.58,2023,Human Resources,Deployment Management Division
2023/185,DMD,Latvia,State Border Guard,"Republic of Latvia, Rudolfa str. 5, LV-1012, Riga","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",1085904.99,2023,Human Resources,Deployment Management Division
2023/186,DMD,Romania,Romanian Border Police / Coast Guard,"42.C, Geniului Boulevard, Sector 6, Bucharest, Romania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",2102295.39,2023,Human Resources,Deployment Management Division
2023/189,DMD,Switzerland,Customs/Border Guard,"Taubenstrasse 16, CH-3003 Bern, Switzerland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",545944.74,2023,Human Resources,Deployment Management Division
2023/190,DMD,Poland,Border Guard,"Aleja Niepodległości 100, 02-514 Warszawa, Poland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps ",1746075.61,2023,Human Resources,Deployment Management Division
2023/191,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",930229.74,2023,Human Resources,Deployment Management Division
2023/192,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",852701.6,2023,Human Resources,Deployment Management Division
2023/193,DMD,Spain,General Directorate for International Relations and Immigration,"Calle Amador de los Ríos nº 8, postal code 28071 Madrid – Spain.","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",2619749.48,2023,Human Resources,Deployment Management Division
2023/195,DMD,Austria,Federal Ministry of Interior,"Herrengasse 7, Postfach 100, A-1014 Vienna, Austria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",909548.34,2023,Human Resources,Deployment Management Division
2023/197,DMD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",5582759.36,2023,Human Resources,Deployment Management Division
2023/198,DMD,Sweden,Swedish Police Authority,"106 75 Stockholm
Sweden","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1044141.35,2023,Human Resources,Deployment Management Division
2023/199,DMD,Bulgaria,Chief Directorate Border Police - Ministry of Interior,"46 “Knyaginya Maria Louisa” Blvd, Sofia 1202, Bulgaria","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",358400.05,2023,Human Resources,Deployment Management Division
2023/200,DMD,Luxembourg,Police Grand Ducale,"Direction des Relations Internationales / DRI-CEC
B.P. 1007
L-2957 LUXEMBOURG","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",147932.45,2023,Human Resources,Deployment Management Division
2023/205,DMD,Slovenia,Slovenian Ministry of Interior,"Štefanova 02, 1000 Ljubljana, Slovenia","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",728140.21,2023,Human Resources,Deployment Management Division
2023/206,DMD,France,"Ministères économiques et financiers - direction du budget, bureau de l'économie, des finances et de l'outre-mer","Ministères économiques et financiers - 139, rue de Bercy, Paris XIIe, 75012","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",4839680.76,2023,Human Resources,Deployment Management Division
2023/207,DMD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34
3712 BR Huis Ter Heide 
The Netherlands","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1609531.99,2023,Human Resources,Deployment Management Division
2023/208,DMD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34
3712 BR Huis Ter Heide 
The Netherlands","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1316998.65,2023,Human Resources,Deployment Management Division
2023/209,DMD,Lithuania,State Border Guard Service Lithuania,"SAVANORIŲ PR. 2, Vilnius LT-03116, Lithuania","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",825950.06,2023,Human Resources,Deployment Management Division
2023/210,DMD,Denmark,Danish National Police,"Polititorvet 14, DK-1780 Copenhagen V, Denmark","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1956420.02,2023,Human Resources,Deployment Management Division
2023/211,DMD,Iceland,Ministry of Justice Iceland,"Sölvhólsgata 7, 101 Reykjavík Iceland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",216734.47000000003,2023,Human Resources,Deployment Management Division
2023/216,DMD,Cyprus,"Cyprus Police, Aliens and Immigration Unit","Antistratigou Evangelou Floraki Street Anglantjia, 1478 Nicosia, 1478 Cyprus","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",33325.16,2023,Human Resources,Deployment Management Division
2023/219,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1088473.59,2023,Human Resources,Deployment Management Division
